homePos,0,0,0,-10,25,40,15,-10,25,40,15,0,10,7,0,0,0,0,10,7,0,0,0
config1,0.4,0,-11.3,-16.3,34.7,12.4,14.1,-26.1,19,7.9,23.5,4.6,31.5,23.7,-25.8,0,0,11.4,17.9,0.1,2.6,0,0
config2,2.4,0,-1.4,-20.6,34.7,-4.3,12.1,-6.9,19,-8.7,9,15.3,31.5,24,-15,0,0,5.3,17.9,13,-12.8,0,0
config3,-4.7,0,-4.7,-6.2,34.7,-7.3,25.8,-13,19,9.3,31.1,-4.7,31.5,-17.2,-29.2,0,0,19.4,17.9,31.1,-10.8,0,0
config4,16.1,0,9,-16.9,34.7,-9.1,22.6,-28.2,19,-2.3,32.7,-0.8,31.5,17.7,-21.9,0,0,1.9,17.9,27.9,0.3,0,0
config5,-11,0,3.5,-18.2,34.7,-4.7,9.5,-0.5,19,11.6,16.1,2,31.5,20.9,-6.2,0,0,-6.5,17.9,14.1,-25.6,0,0
config6,0.4,0,-4.2,-16.3,28.1,-9.7,13.9,-26.1,29,2.3,24.5,4.6,39.2,6.4,-11.5,0,0,11.4,9.4,14.7,-4.3,0,0
config7,2.4,0,3.6,-20.6,28.1,-3.5,12.1,-6.9,29,-4.7,20.1,15.3,39.2,19.4,-18.9,0,0,5.3,9.4,14.7,-8.8,0,0
config8,-4.7,0,9.2,-6.2,28.1,-9.4,7.4,-13,29,4.4,19.4,-4.7,39.2,4.1,-11.4,0,0,19.4,9.4,3.5,-14.5,0,0
config9,16.1,0,14.2,-16.9,28.1,-1.4,10.3,-28.2,29,4.1,25.3,-0.8,39.2,14.5,-14.9,0,0,1.9,9.4,6.4,-5.9,0,0
config10,-11,0,2.1,-18.2,28.1,9.3,17,-0.5,29,-5.7,28.9,2,39.2,22.6,-7.9,0,0,-6.5,9.4,7.9,-19,0,0
config11,0.4,0,5.5,-16.3,25.3,4.8,8.8,-26.1,25.2,8.4,15.5,4.6,18.4,5.9,-18.4,0,0,11.4,9.4,16.5,-24.4,0,0
config12,2.4,0,2.7,-20.6,25.3,-2.3,25,-6.9,25.2,-2,6.6,15.3,18.4,20,-13.1,0,0,5.3,9.4,0,-20.1,0,0
config13,-4.7,0,4.5,-6.2,25.3,3.8,17.5,-13,25.2,0.9,13.3,-4.7,18.4,26.5,-16.7,0,0,19.4,9.4,20.1,-16.2,0,0
config14,16.1,0,-1.1,-16.9,25.3,-4.3,18.3,-28.2,25.2,-11.5,13.4,-0.8,18.4,30.4,-10.6,0,0,1.9,9.4,-10.8,-26.2,0,0
config15,-11,0,3.6,-18.2,25.3,-3.5,24.9,-0.5,25.2,-8.4,14.7,2,18.4,9.2,-11.1,0,0,-6.5,9.4,19.9,-15.3,0,0
config16,0.4,0,2.4,-16.3,21.3,-19.5,25.4,-26.1,32.7,-11.1,25.6,4.6,20.5,0.9,-27.7,0,0,11.4,33.7,15,-11.6,0,0
config17,2.4,0,-13.4,-20.6,21.3,-11.7,15.9,-6.9,32.7,9.9,18.2,15.3,20.5,26.9,-17,0,0,5.3,33.7,17.4,-26.6,0,0
config18,-4.7,0,10.7,-6.2,21.3,-6.6,18.6,-13,32.7,-1.9,8.2,-4.7,20.5,15.1,-11.1,0,0,19.4,33.7,2.6,-9,0,0
config19,16.1,0,-14.1,-16.9,21.3,-1.8,17.8,-28.2,32.7,-10.6,13.9,-0.8,20.5,16.9,-1.5,0,0,1.9,33.7,13,-16.4,0,0
config20,-11,0,-6.8,-18.2,21.3,-3.9,27.3,-0.5,32.7,6.3,15.8,2,20.5,27.9,-15.1,0,0,-6.5,33.7,34.7,-26.4,0,0
config21,0.4,0,10.5,-16.3,22.1,-9.4,9.5,-26.1,23.8,-3.4,29.4,4.6,25.1,21.9,-11.8,0,0,11.4,20.6,10.3,-19.4,0,0
config22,2.4,0,-1.6,-20.6,22.1,-7.3,14.9,-6.9,23.8,-5.1,16.7,15.3,25.1,23,-15.8,0,0,5.3,20.6,4.8,-15,0,0
config23,-4.7,0,15.3,-6.2,22.1,21.5,20.8,-13,23.8,-3,15.2,-4.7,25.1,7.2,-8.2,0,0,19.4,20.6,13.9,-10.6,0,0
config24,16.1,0,1.2,-16.9,22.1,6.3,15.7,-28.2,23.8,9.8,28,-0.8,25.1,13.3,-31.9,0,0,1.9,20.6,11.7,-1.8,0,0
config25,-11,0,7.1,-18.2,22.1,-6.8,20.4,-0.5,23.8,3,27.6,2,25.1,16.4,-25.4,0,0,-6.5,20.6,25.8,-4.6,0,0
